lat,long,density
40.8290897436,-73.9232910256,78
40.711776354,-73.9649970938,757
40.7486716763,-73.938782659,173
40.7440998141,-73.9737141264,538
40.7775404762,-74.0153095238,42
40.6903482051,-73.9705548718,390
40.871036,-73.846956,25
40.7483393684,-73.9883263158,475
40.648395122,-73.9772219512,82
40.7693475989,-73.9825769774,708
40.6900135945,-73.9855953917,434
40.8203275862,-73.8182275862,29
40.7352252688,-73.9547725806,186
40.7730842105,-73.8982315789,76
40.7343743532,-73.9915893138,889
40.6430842105,-73.9235631579,38
40.7432063636,-73.9208618182,110
40.7231421348,-73.9414977528,178
40.7188289072,-74.0044839013,851
40.7187280193,-73.9841137681,414
40.7672689139,-73.9667876404,267
40.8176783505,-73.9588989691,97
40.7276953938,-74.0009338782,1346
40.6920404959,-73.9233363636,121
40.6543588235,-74.0057485294,68
40.7527919255,-73.9791180124,483
40.8112867816,-73.9440712644,174
40.6933182857,-73.9466737143,175
40.6789606383,-73.9469196809,188
40.8979722222,-73.8631,18
40.6711368852,-73.9760770492,122
40.8906404255,-73.9014957447,47
40.6563413793,-73.8392793103,29
40.685426087,-73.858026087,23
40.7300729196,-73.9824932299,709
40.7162010941,-73.9508892779,457
40.7531146853,-74.0282814685,286
40.6793671642,-73.9882173134,335
40.6766388889,-73.7919555556,18
40.8528629213,-73.9345067416,89
40.7457546906,-73.9947447106,501
40.7442466667,-73.8455877778,90
40.7758533597,-73.962401581,253
40.7743981818,-73.9479992727,275
40.7898333333,-74.0461666667,15
40.7325652174,-74.0091923395,483
40.715653125,-74.008746875,704
40.7640588235,-73.9090564706,85
40.7344988024,-73.9772547904,334
40.8713214286,-73.8186571429,14
40.7627409091,-73.8077681818,22
40.7209916941,-73.9937634046,1216
40.7570015106,-73.9828767372,662
40.7385860647,-74.0020713489,897
40.761238601,-73.9940494819,386
40.83559,-73.880875,20
40.6744708772,-73.9568007018,285
40.7154812689,-73.9980042296,331
40.7689039474,-73.8642927632,152
40.7733101942,-73.9157300971,206
40.7044466667,-73.8321911111,45
40.645540708,-73.7894880531,226
40.7638340845,-73.9760542254,710
40.6673181818,-73.8917939394,33
40.662206599,-73.9910680203,197
40.8024448864,-73.9499528409,176
40.7943073394,-73.9701669725,218
40.7325105779,-73.9870885406,1021
40.7243985337,-73.9557721408,341
40.7097457944,-73.9501011682,428
40.6971310811,-73.9327963964,222
40.7852827586,-73.8299827586,29
40.7079111663,-74.0149573201,403
40.7596533333,-73.9648931034,435
40.750802584,-73.9932065891,774
40.6934736527,-73.9602598802,167
40.7502866255,-73.9730032922,486
40.75837034,-73.9910762016,853
40.7428365385,-73.9032307692,52
40.7814010989,-73.948707326,273
40.738127656,-73.9968848229,593
40.6764143369,-73.9817645161,279
40.620996,-73.91864,25
40.8041473934,-73.9660109005,211
40.7197497067,-74.0089872434,682
40.85005,-73.97394,10
40.7134061728,-74.0418944444,162
40.61205,-73.95451,10
40.7567518519,-73.8291685185,54
40.736102439,-73.8799292683,41
40.8250235294,-73.9484205882,136
40.7298081892,-74.005072895,867
40.747144591,-74.0065939314,379
40.6609659574,-73.9164085106,47
40.732427931,-73.9962722414,580
40.7011886179,-73.9848280488,246
40.7394524272,-74.0433864078,103
40.6440970588,-74.0172058824,34
40.8913,-74.0504,4
40.8095884058,-73.9539608696,138
40.7122223602,-73.9365913043,161
40.7827151282,-73.9789525641,390
40.6695478723,-73.9355904255,94
40.685728013,-73.9921185668,307
