lat,long,density
40.6949147222,-73.9835025,360
40.7337471007,-73.997780061,983
40.7229083064,-74.0036055016,927
40.8738142857,-73.8857126984,63
40.7516728984,-73.994423212,1594
40.8304941176,-73.8598941176,34
40.8166625,-73.8176958333,24
40.7044195652,-73.9220966184,414
40.7510696493,-73.9730279323,827
40.8886666667,-74.0556333333,6
40.7180146515,-73.9622214794,703
40.8246341837,-73.9458933673,196
40.7983278146,-73.9456642384,151
40.7558801059,-73.9839184569,1322
40.6406211268,-73.9667422535,142
40.7101869565,-73.8322101449,69
40.7684910941,-73.990996056,786
40.705245614,-73.9322008772,342
40.7270224847,-74.0039153981,1143
40.7269235849,-73.8551990566,106
40.7704570312,-73.8654909375,640
40.7286523763,-73.9835456838,1031
40.7716420068,-73.9579629252,588
40.7148505929,-73.983713834,253
40.6746380795,-73.9635139073,302
40.6792086705,-74.0103132948,173
40.722350257,-73.9981374643,1751
40.7035508393,-74.0121359712,417
40.7345859756,-73.9554792683,328
40.8489714286,-73.7894714286,7
40.7856648649,-74.0069594595,37
40.8805428571,-73.9109116883,77
40.7638156863,-73.8130078431,51
40.6580723077,-73.9166138462,65
40.7502196172,-74.0317454545,209
40.7515503067,-73.9491312883,163
40.6372069767,-73.9298790698,43
40.7134548571,-73.9573051429,525
40.8039710317,-73.9364857143,252
40.7508829268,-74.0041258537,820
40.7445051282,-73.9182358974,156
40.7742702128,-73.9059716312,141
40.75646,-73.9350789474,95
40.6631493548,-73.9822277419,310
40.6197752577,-74.0308907216,97
40.7284647059,-73.7958921569,51
40.7575958525,-73.9736401843,1085
40.7668718519,-73.9550948148,405
40.6193369565,-74.0122413043,46
40.7513409091,-74.0506045455,22
40.64036,-74.0130166667,60
40.6426411017,-73.7891574153,472
40.7154513144,-74.0089045216,951
40.7307369269,-73.9928933086,807
40.7160603947,-73.9909842105,760
40.7767378973,-73.9473880196,409
40.7930679825,-73.9671903509,228
40.7446443709,-73.9734988079,755
40.7437402961,-73.989845477,1216
